first_name,middle_name,last_name,label,scopus_id
ROSANNE,,ALTSHULER,"Altshuler, Rosanne",6602099638
ROSEANNE,,ALTSHULER,"Altshuler, Rosanne",6602099638
SUMRU,,ALTUG,"Altuǧ, Sumru G.",6701650671
Y,,ALTUMBAS,"Altunbaş, Yener",57208464443
YENER,,ALTUNBAS,"Altunbaş, Yener",57208464443
YENNER,,ALTUNBAS,"Altunbaş, Yener",57208464443
ANTONIO,,ALVAREZ,"Álvarez, Antonio M.",57197546327
FERNANDO,,ALVAREZ,"Alvarez, Fernando E.",36781806900
SCOTT,,ALVAREZ,SCOTT G ALVAREZ,
JULIAN,,ALWORTH,"Alworth, Julian S.",6508022765
BENEDICTE,,ALZIARY,"Alziary, Bénédicte",6602616183
BRUNO,,AMABLE,"Amable, Bruno",57193200810
MANUEL,,AMADOR,"Amador, Manuel",35291427000
ROBERT,,AMANO,"Amano, Robert A.",30867454700
AMEDEO,,AMATO,"Amato, Amedeo",7103136812
JEFFERY,,AMATO,"Amato, Jeffery D.",7005234896
JEFFERY,D,AMATO,"Amato, Jeffery D.",7005234896
JEFFREY,,AMATO,"Amato, Jeffery D.",7005234896
D,,AMAYA,"Amaya, Diego",56043655300
KEITH,,AMBACHSTEER,KEITH AMBACHSTEER,
STEFAN,,AMBEC,"Ambec, Stéfan",6506952437
STEVE,,AMBLER,"Ambler, Steve",7003265991
BRENT,,AMBROSE,"Ambrose, Brent William",7006834427
BRENT,W,AMBROSE,"Ambrose, Brent William",7006834427
FARAH,,AMEEN,FARAH AMEEN,
DEAN,,AMEL,"Amel, Dean F.",7801374469
DEAN,F,AMEL,"Amel, Dean F.",7801374469
TAKESHI,,AMEMIYA,"Amemiya, Takeshi",24569108400
NOEL,,AMENC,"Amenc, Noël",24329044500
JOHN,,AMERIKS,"Ameriks, John",16306627900
Y,,AMIHUD,"Amihud, Yakov",6602730596
YACOV,,AMIHUD,"Amihud, Yakov",6602730596
YAKOV,,AMIHUD,"Amihud, Yakov",6602730596
HENRIK,,AMILON,"Amilon, Henrik",6506702996
KAUSHIK,,AMIN,"Amin, Kaushik I.",24287733600
KAUSHIK,I,AMIN,"Amin, Kaushik I.",24287733600
MAGDI,,AMIN,AMIN MAGDI,
ELI,,AMIR,"Amir, Eli",7004440694
KHALED,,AMIRA,"Amira, Khaled",36010306500
RAFFI,,AMIT,"Amit, Raphael Raffi",7004998175
RAPHAEL,,AMIT,"Amit, Raphael Raffi",7004998175
MANUEL,,AMMANN,"Ammann, Manuel",7005794251
JOHN,,AMMER,"Ammer, John",25940970500
BEN,,AMOAKO-ADU,"Amoako-Adu, Ben",6505820674
G,,AMROMIN,"Amromin, Gene",6602383706
GENE,,AMROMIN,"Amromin, Gene",6602383706
XUDONG,,AN,"An, Xudong",23396221900
YUNBI,,AN,"An, Yunbi",16238301100
ALEXIS,,ANAGNOSTOPOULOS,"Anagnostopoulos, Alexis",23026744600
SANTOSH,,ANAGOL,"Anagol, Santosh",7801622574
AMBER,,ANAND,"Anand, Amber",8688457500
BHARAT,,ANAND,"Anand, Bharat N.",7102357769
ASOKAN,,ANANDARAJAN,"Anandarajan, Asokan A.",7801309007
ALI,,ANARI,"Anari, Ali",6505846967
ANASTASIOS,,ANASTASOPOULOS,ANASTASIOS ANASTASOPOULOS,
LEIF,,ANDERSEN,"Andersen, Leif B.G.",35465445100
PALLE,,ANDERSEN,PALLE ANDERSEN,
STEFFEN,,ANDERSEN,"Andersen, Steffen",57196650090
TORBEN,,ANDERSEN,"Andersen, Torben G.",7201524371
TORBEN,G,ANDERSEN,"Andersen, Torben G.",7201524371
TORBEN,M,ANDERSEN,"Andersen, Torben M.",7201524328
ANN-MARIE,,ANDERSON,"Anderson, Anne Marie",16642010800
ANNE,,ANDERSON,"Anderson, Anne Marie",16642010800
AXEL,,ANDERSON,"Anderson, Axel",23993570100
BING,,ANDERSON,"Anderson, Bing",26538493800
BOB,,ANDERSON,"Anderson, Robert M.",57193254251
CHARLES,D,ANDERSON,"Anderson, Charles D.",55453380900
CHRIS,,ANDERSON,"Anderson, Christopher W.",55453384400
CHRISTOPHER,,ANDERSON,"Anderson, Christopher W.",55453384400
CHRISTOPHER,W,ANDERSON,"Anderson, Christopher W.",55453384400
DICK,,ANDERSON,"Anderson, Richard G.",16058161500
DWIGHT,C,ANDERSON,"Anderson, Dwight C.",7410018979
ERIC,,ANDERSON,ERIC ANDERSON,
EVAN,,ANDERSON,"Anderson, Evan W.",35353918000
EVAN,W,ANDERSON,"Anderson, Evan W.",35353918000
GARY,,ANDERSON,"Anderson, Gary A.",7404222528
GORAN,,ANDERSON,GORAN ANDERSON,
GORDON,,ANDERSON,GORDON ANDERSON,
HEATHER,,ANDERSON,"Anderson, Heather M.",7402166522
JOSHUA,,ANDERSON,JOSHUA ANDERSON,
KIRSTEN,,ANDERSON,"Anderson, Kirsten",7404579865
MICHAEL,,ANDERSON,MICHAEL ANDERSON,
MIKE,,ANDERSON,MICHAEL ANDERSON,
RICHARD,,ANDERSON,"Anderson, Richard G.",16058161500
RICHARD,G,ANDERSON,"Anderson, Richard G.",16058161500
RON,,ANDERSON,"Anderson, Ronald C.",55492812500
RONALD,,ANDERSON,"Anderson, Ronald W.",57190364143
RONALD,C,ANDERSON,"Anderson, Ronald C.",55492812500
RONALD,W,ANDERSON,"Anderson, Ronald W.",57190364143
SCOTT,,ANDERSON,"Anderson, Elizabeth Scott",35368020600
TORBEN,,ANDERSON,"Andersen, Torben G.",7201524371
MAGNUS,,ANDERSSON,"Andersson, Magnus",57202724896
MARTIN,,ANDERSSON,"Andersson, Martin",57085825400
TAHIR,,ANDRABI,"Andrabi, Tahir",13003954400
DIANA,,ANDRADE,DIANA ANDRADE,
EDUARDO,,ANDRADE,EDUARDO ANDRADE,
GREGOR,,ANDRADE,"Andrade, Gregor",7003458167
PHILIPPE,,ANDRADE,"Andrade, Philippe",55766175400
SANDRO,,ANDRADE,"Andrade, Sandro C.",24167624100
SANDRO,C,ANDRADE,"Andrade, Sandro C.",24167624100
P,,ANDRE,"André, Paul",56363726400
PAUL,,ANDRE,"André, Paul",56363726400
ETTORE,,ANDREANI,"Andreani, Ettore",55944968100
JESPER,,ANDREASEN,"Andreasen, Jesper",7101792692
